Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
IC 448;;LBN 931,CED 79;Reflection Nebula;Monoceros;"06h 34' 00""""";"07º 18' 00""""";;15' x 10';;;"06h 35' 22""""";"07º 16' 44"""""
NGC 6625;;;Open Cluster;Scutum;"18h 22' 47""""";"-11º 57' 18""""";9.0;15' x 15';45833;;"18h 24' 12""""";"-11º 56' 26"""""
LBN 271;;LBN 079.99+00.01;HII Region;Cygnus;"20h 36' 00""""";"40º 42' 00""""";;40' x 10';;;"20h 36' 55""""";"40º 47' 18"""""
LBN 986;;LBN 212.03-01.15;HII Region;Monoceros;"06h 46' 00""""";"00º 12' 00""""";;20' x 5';;;"06h 47' 18""""";"00º 10' 18"""""
SH 2-210;;LBN 712,LBN 152.67+02.84;HII Region;Perseus;"04h 31' 08""""";"52º 29' 24""""";;20';;;"04h 33' 06""""";"52º 32' 33"""""
SH 2-59;;LBN 80,LBN 024.48-00.22;HII Region;Scutum;"18h 37' 00""""";"-07º 35' 00""""";;20';;;"18h 38' 22""""";"-07º 33' 37"""""
SH 2-53;;;HII Region;Scutum;"18h 25' 16""""";"-13º 13' 17""""";;15';;;"18h 26' 42""""";"-13º 12' 20"""""
SH 2-176;;LBN 597,LBN 120.29-05.51,PK 120-05 1;Planetary Nebula;Cassiopeia;"00h 31' 54""""";"57º 22' 33""""";;10';;;"00h 33' 18""""";"57º 30' 53"""""
NGC 381;;CL COLLINDER 10,OCL 317.0;Open Cluster;Cassiopeia;"01h 08' 20""""";"61º 35' 02""""";09.mar;11' x 11';45710;;"01h 09' 56""""";"61º 43' 04"""""
LDN 1353;;;Dark Nebula;Cassiopeia;"02h 44' 24""""";"68º 13' 00""""";;1.6º x 1.6º;;;"02h 46' 37""""";"68º 19' 19"""""
ACO 576;;;Cluster of Galaxies;Lynx;"07h 21' 24""""";"55º 44' 20""""";;21' x 21';;;"07h 23' 28""""";"55º 41' 22"""""
LBN 987;;LBN 212.06-01.45;HII Region;Monoceros;"06h 45' 00""""";"00º 06' 00""""";;20' x 8';;;"06h 46' 17""""";"00º 04' 20"""""
LDN 769;;;Dark Nebula;Vulpecula;"19h 24' 22""""";"23º 04' 06""""";;20' x 13';;;"19h 25' 26""""";"23º 07' 09"""""
SH 2-293;;LBN 1030,LBN 224.19-02.68,VDB 88,HD 52721,HIP 33868,IRAS 06594-1113;Star;Canis Major;"07h 01' 50""""";"-11º 18' 03""""";06.cze;11';20.44;;"07h 03' 00""""";"-11º 20' 19"""""
